function,10^3,10^4,10^5,10^6,10^7
test_pandas_csv_read,0.002949728397652507,0.011593690802692435,0.10503947120159865,0.7476551474013832,7.317943834801554
test_pandas_json_read,0.005795548603055067,0.024940203400910833,0.2848693172010826,4.359570034604985,63.29531168300018
test_polars_csv_read,0.008267773600528017,0.0018426258000545203,0.010345102800056339,0.08448103239934426,1.0058430826029507
test_polars_json_read,0.0005253806011751294,0.003623515201616101,0.03561106319830287,0.3897130355995614,4.321380379400216
test_hdf_fixed_read,0.005361292595625855,0.005559605397866108,0.010237707803025842,0.03756980979524087,0.5116609100019559
test_hdf_fixed_read_compress,0.005368768196785822,0.00516955139755737,0.011324013798730447,0.036018754000542684,0.5184939488011878
test_hdf_table_read,0.006522642596974037,0.006497233398840762,0.016213792000780814,0.050995456401142295,0.4521149136009626
test_hdf_table_read_compress,0.006400360600673593,0.006430447002639994,0.015136419804184698,0.03777765640115831,0.42569338900502773
test_pandas_arrowipc_read,0.0018431529984809457,0.002289963999646716,0.006545812598778867,0.03196190019662026,0.32807849360106045
test_pandas_parquet_read,0.006284643401158974,0.003229849197668955,0.00962525759532582,0.037005114604835396,0.40503194280317983
test_polars_arrowipc_read,0.00014990700292401017,0.00013317760021891445,0.0001729462033836171,0.00015756099892314524,0.0037875719979638236
test_polars_parquet_read,0.0005655831977492198,0.0007913034030934795,0.006998145199031569,0.04259658040245995,0.25519914999895266
test_pickle_read,0.00030193020065780727,0.0003245095955207944,0.0015318533987738192,0.016945429597399198,0.19607401859830134
test_pickle_read_compress,0.0034243080008309335,0.029307790598249995,0.3263358058000449,3.107143748202361,29.235211328597508
test_pandas_csv_write,0.01052975959610194,0.07298355939856264,0.8171195305971196,7.4015521745983275,68.734474400396
test_pandas_json_write,0.001246334600728005,0.008986957400338724,0.11215922180272173,1.01956606360327,10.941672732596635
test_polars_csv_write,0.0011976698006037623,0.0035778571967966855,0.03200334140274208,0.28414979679801033,2.5209277447982457
test_polars_json_write,0.0007186172035289929,0.004387057799613103,0.05839068199857138,0.4575205046043266,3.8248760588030564
test_hdf_fixed_write,0.06472962040279526,0.007035499002085999,0.034319602799951096,0.0541670166014228,0.7948030208033743
test_hdf_fixed_write_compress,0.006676216598134488,0.006639009393984452,0.020788376400014387,0.04800342759990599,0.7143412752018776
test_hdf_table_write,0.01134093439904973,0.0136506894021295,0.04875575359910726,0.5386745114024961,6.623471625399543
test_hdf_table_write_compress,0.010535743404761887,0.014415186995756812,0.04289556260337122,0.5243597317981766,6.644250677200034
test_pandas_arrowipc_write,0.0037150311953155326,0.0031734001939184965,0.005799844200373628,0.03373152619751636,0.2612788072001422
test_pandas_parquet_write,0.007454290398163721,0.008907798602012917,0.0416207707952708,0.11351989500108176,0.5307969555986347
test_polars_arrowipc_write,0.0005017292016418651,0.000660385997616686,0.003424228003132157,0.025664174804114738,0.3337795196013758
test_polars_parquet_write,0.0026461149973329157,0.004183689801720902,0.013499693002086133,0.09763589760113973,1.0961716015968705
test_pickle_write,0.0005902441975194961,0.0008442361984634772,0.0023042226006509737,0.015002501601702533,0.12998956980009096
test_pickle_write_compress,0.015575800999067723,0.10283336179854814,1.3388478240027326,16.172604189396953,170.2642383216036
test_pandas.csv,0.07847,0.785184,7.852524,78.522457,785.244334
test_pandas.json,0.077138,0.811239,8.511341,89.112101,931.118289
test_polars.csv,0.078471,0.785186,7.852552,78.522701,785.246869
test_polars.json,0.078656,0.785371,7.852737,78.522886,785.247054
test_fixed.hdf,0.04724,0.40724,4.00724,40.00724,400.00724
test_fixed_compress.hdf,0.04724,0.40724,4.00724,40.00724,400.00724
test_table.hdf,0.084394,0.481154,4.128671,40.445219,402.161422
test_table_compress.hdf,0.084394,0.481154,4.128671,40.445219,402.161422
test_pandas.arrow,0.034554,0.322586,3.203178,32.010874,320.08653
test_pandas.parquet,0.040493,0.393626,4.054531,33.122572,321.158139
test_polars.arrow,0.032976,0.320976,3.200976,32.000976,320.000976
test_polars.parquet,0.032266,0.312635,3.118056,31.17377,311.738589
test.pkl,0.0327,0.320709,3.200713,32.000713,320.000713
test.pkl.compress,0.030884,0.302952,3.024384,30.03406,298.787944
